year,round,race_name,circuit_id,date,driver_id,constructor_id,quali_position,q1_time,q2_time,q3_time
2018,3,Chinese Grand Prix,shanghai,2018-04-15,kevin_magnussen,haas,11,1:33.359,1:32.986,
2018,3,Chinese Grand Prix,shanghai,2018-04-15,ocon,force_india,12,1:33.585,1:33.057,
2018,3,Chinese Grand Prix,shanghai,2018-04-15,alonso,mclaren,13,1:33.428,1:33.232,
2018,3,Chinese Grand Prix,shanghai,2018-04-15,vandoorne,mclaren,14,1:33.824,1:33.505,
2018,3,Chinese Grand Prix,shanghai,2018-04-15,brendon_hartley,toro_rosso,15,1:34.013,1:33.795,
2018,3,Chinese Grand Prix,shanghai,2018-04-15,sirotkin,williams,16,1:34.062,,
2018,3,Chinese Grand Prix,shanghai,2018-04-15,gasly,toro_rosso,17,1:34.101,,
2018,3,Chinese Grand Prix,shanghai,2018-04-15,stroll,williams,18,1:34.285,,
2018,3,Chinese Grand Prix,shanghai,2018-04-15,leclerc,sauber,19,1:34.454,,
2018,3,Chinese Grand Prix,shanghai,2018-04-15,ericsson,sauber,20,1:34.914,,
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,vettel,ferrari,1,1:42.762,1:43.015,1:41.498
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,hamilton,mercedes,2,1:42.693,1:42.676,1:41.677
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,bottas,mercedes,3,1:43.355,1:42.679,1:41.837
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,ricciardo,red_bull,4,1:42.857,1:43.482,1:41.911
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,max_verstappen,red_bull,5,1:42.642,1:42.901,1:41.994
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,raikkonen,ferrari,6,1:42.538,1:42.510,1:42.490
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,ocon,force_india,7,1:43.021,1:42.967,1:42.523
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,perez,force_india,8,1:43.992,1:43.366,1:42.547
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,hulkenberg,renault,9,1:43.746,1:43.232,1:43.066
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,sainz,renault,10,1:43.426,1:43.464,1:43.351
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,stroll,williams,11,1:44.359,1:43.585,
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,sirotkin,williams,12,1:44.261,1:43.886,
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,alonso,mclaren,13,1:44.010,1:44.019,
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,leclerc,sauber,14,1:43.752,1:44.074,
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,kevin_magnussen,haas,15,1:43.674,1:44.759,
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,vandoorne,mclaren,16,1:44.489,,
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,gasly,toro_rosso,17,1:44.496,,
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,ericsson,sauber,18,1:45.541,,
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,brendon_hartley,toro_rosso,19,1:57.354,,
2018,4,Azerbaijan Grand Prix,baku,2018-04-29,grosjean,haas,20,,,
2018,5,Spanish Grand Prix,catalunya,2018-05-13,hamilton,mercedes,1,1:17.633,1:17.166,1:16.173
2018,5,Spanish Grand Prix,catalunya,2018-05-13,bottas,mercedes,2,1:17.674,1:17.111,1:16.213
2018,5,Spanish Grand Prix,catalunya,2018-05-13,vettel,ferrari,3,1:17.031,1:16.802,1:16.305
2018,5,Spanish Grand Prix,catalunya,2018-05-13,raikkonen,ferrari,4,1:17.483,1:17.071,1:16.612
2018,5,Spanish Grand Prix,catalunya,2018-05-13,max_verstappen,red_bull,5,1:17.411,1:17.266,1:16.816
2018,5,Spanish Grand Prix,catalunya,2018-05-13,ricciardo,red_bull,6,1:17.623,1:17.638,1:16.818
2018,5,Spanish Grand Prix,catalunya,2018-05-13,kevin_magnussen,haas,7,1:18.169,1:17.618,1:17.676
2018,5,Spanish Grand Prix,catalunya,2018-05-13,alonso,mclaren,8,1:18.276,1:18.100,1:17.721
2018,5,Spanish Grand Prix,catalunya,2018-05-13,sainz,renault,9,1:18.480,1:17.803,1:17.790
2018,5,Spanish Grand Prix,catalunya,2018-05-13,grosjean,haas,10,1:18.305,1:17.699,1:17.835
2018,5,Spanish Grand Prix,catalunya,2018-05-13,vandoorne,mclaren,11,1:18.885,1:18.323,
2018,5,Spanish Grand Prix,catalunya,2018-05-13,gasly,toro_rosso,12,1:18.550,1:18.463,
2018,5,Spanish Grand Prix,catalunya,2018-05-13,ocon,force_india,13,1:18.813,1:18.696,
2018,5,Spanish Grand Prix,catalunya,2018-05-13,leclerc,sauber,14,1:18.661,1:18.910,
2018,5,Spanish Grand Prix,catalunya,2018-05-13,perez,force_india,15,1:18.740,1:19.098,
2018,5,Spanish Grand Prix,catalunya,2018-05-13,hulkenberg,renault,16,1:18.923,,
2018,5,Spanish Grand Prix,catalunya,2018-05-13,ericsson,sauber,17,1:19.493,,
2018,5,Spanish Grand Prix,catalunya,2018-05-13,sirotkin,williams,18,1:19.695,,
2018,5,Spanish Grand Prix,catalunya,2018-05-13,stroll,williams,19,1:20.225,,
2018,5,Spanish Grand Prix,catalunya,2018-05-13,brendon_hartley,toro_rosso,20,,,
2018,6,Monaco Grand Prix,monaco,2018-05-27,ricciardo,red_bull,1,1:12.013,1:11.278,1:10.810
2018,6,Monaco Grand Prix,monaco,2018-05-27,vettel,ferrari,2,1:12.415,1:11.518,1:11.039
2018,6,Monaco Grand Prix,monaco,2018-05-27,hamilton,mercedes,3,1:12.460,1:11.584,1:11.232
2018,6,Monaco Grand Prix,monaco,2018-05-27,raikkonen,ferrari,4,1:12.639,1:11.391,1:11.266
2018,6,Monaco Grand Prix,monaco,2018-05-27,bottas,mercedes,5,1:12.434,1:12.002,1:11.441
2018,6,Monaco Grand Prix,monaco,2018-05-27,ocon,force_india,6,1:13.028,1:12.188,1:12.061
2018,6,Monaco Grand Prix,monaco,2018-05-27,alonso,mclaren,7,1:12.657,1:12.269,1:12.110
2018,6,Monaco Grand Prix,monaco,2018-05-27,sainz,renault,8,1:12.950,1:12.286,1:12.130
2018,6,Monaco Grand Prix,monaco,2018-05-27,perez,force_india,9,1:12.848,1:12.194,1:12.154
2018,6,Monaco Grand Prix,monaco,2018-05-27,gasly,toro_rosso,10,1:12.941,1:12.313,1:12.221
2018,6,Monaco Grand Prix,monaco,2018-05-27,hulkenberg,renault,11,1:13.065,1:12.411,
2018,6,Monaco Grand Prix,monaco,2018-05-27,vandoorne,mclaren,12,1:12.463,1:12.440,
2018,6,Monaco Grand Prix,monaco,2018-05-27,sirotkin,williams,13,1:12.706,1:12.521,
2018,6,Monaco Grand Prix,monaco,2018-05-27,leclerc,sauber,14,1:12.829,1:12.714,
2018,6,Monaco Grand Prix,monaco,2018-05-27,grosjean,haas,15,1:12.930,1:12.728,
2018,6,Monaco Grand Prix,monaco,2018-05-27,brendon_hartley,toro_rosso,16,1:13.179,,
2018,6,Monaco Grand Prix,monaco,2018-05-27,ericsson,sauber,17,1:13.265,,
2018,6,Monaco Grand Prix,monaco,2018-05-27,stroll,williams,18,1:13.323,,
2018,6,Monaco Grand Prix,monaco,2018-05-27,kevin_magnussen,haas,19,1:13.393,,
2018,6,Monaco Grand Prix,monaco,2018-05-27,max_verstappen,red_bull,20,,,
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,vettel,ferrari,1,1:11.710,1:11.524,1:10.764
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,bottas,mercedes,2,1:11.950,1:11.514,1:10.857
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,max_verstappen,red_bull,3,1:12.008,1:11.472,1:10.937
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,hamilton,mercedes,4,1:11.835,1:11.740,1:10.996
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,raikkonen,ferrari,5,1:11.725,1:11.620,1:11.095
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,ricciardo,red_bull,6,1:12.459,1:11.434,1:11.116
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,hulkenberg,renault,7,1:12.795,1:11.916,1:11.973
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,ocon,force_india,8,1:12.577,1:12.141,1:12.084
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,sainz,renault,9,1:12.689,1:12.097,1:12.168
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,perez,force_india,10,1:12.702,1:12.395,1:12.671
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,kevin_magnussen,haas,11,1:12.680,1:12.606,
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,brendon_hartley,toro_rosso,12,1:12.587,1:12.635,
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,leclerc,sauber,13,1:12.945,1:12.661,
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,alonso,mclaren,14,1:12.979,1:12.856,
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,vandoorne,mclaren,15,1:12.998,1:12.865,
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,gasly,toro_rosso,16,1:13.047,,
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,stroll,williams,17,1:13.590,,
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,sirotkin,williams,18,1:13.643,,
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,ericsson,sauber,19,1:14.593,,
2018,7,Canadian Grand Prix,villeneuve,2018-06-10,grosjean,haas,20,,,
2018,8,French Grand Prix,ricard,2018-06-24,hamilton,mercedes,1,1:31.271,1:30.645,1:30.029
2018,8,French Grand Prix,ricard,2018-06-24,bottas,mercedes,2,1:31.776,1:31.227,1:30.147
2018,8,French Grand Prix,ricard,2018-06-24,vettel,ferrari,3,1:31.820,1:30.751,1:30.400
2018,8,French Grand Prix,ricard,2018-06-24,max_verstappen,red_bull,4,1:31.531,1:30.818,1:30.705
2018,8,French Grand Prix,ricard,2018-06-24,ricciardo,red_bull,5,1:31.910,1:31.538,1:30.895
2018,8,French Grand Prix,ricard,2018-06-24,raikkonen,ferrari,6,1:31.567,1:30.772,1:31.057
2018,8,French Grand Prix,ricard,2018-06-24,sainz,renault,7,1:32.394,1:32.016,1:32.126
2018,8,French Grand Prix,ricard,2018-06-24,leclerc,sauber,8,1:32.538,1:32.055,1:32.635
2018,8,French Grand Prix,ricard,2018-06-24,kevin_magnussen,haas,9,1:32.169,1:31.510,1:32.930
2018,8,French Grand Prix,ricard,2018-06-24,grosjean,haas,10,1:32.083,1:31.472,
2018,8,French Grand Prix,ricard,2018-06-24,ocon,force_india,11,1:32.786,1:32.075,
2018,8,French Grand Prix,ricard,2018-06-24,hulkenberg,renault,12,1:32.949,1:32.115,
2018,8,French Grand Prix,ricard,2018-06-24,perez,force_india,13,1:32.692,1:32.454,
2018,8,French Grand Prix,ricard,2018-06-24,gasly,toro_rosso,14,1:32.447,1:32.460,
2018,8,French Grand Prix,ricard,2018-06-24,ericsson,sauber,15,1:32.804,1:32.820,
2018,8,French Grand Prix,ricard,2018-06-24,alonso,mclaren,16,1:32.976,,
2018,8,French Grand Prix,ricard,2018-06-24,brendon_hartley,toro_rosso,17,1:33.025,,
2018,8,French Grand Prix,ricard,2018-06-24,vandoorne,mclaren,18,1:33.162,,
2018,8,French Grand Prix,ricard,2018-06-24,sirotkin,williams,19,1:33.636,,
2018,8,French Grand Prix,ricard,2018-06-24,stroll,williams,20,1:33.729,,
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,bottas,mercedes,1,1:04.175,1:03.756,1:03.130
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,hamilton,mercedes,2,1:04.080,1:03.577,1:03.149
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,vettel,ferrari,3,1:04.347,1:03.544,1:03.464
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,raikkonen,ferrari,4,1:04.234,1:03.975,1:03.660
2018,9,Austrian Grand Prix,red_bull_ring,2018-07-01,max_verstappen,red_bull,5,1:04.273,1:04.001,1:03.840
